basic_level,in_cdi,CDI_form
meerkat,F,
parsley,F,
the+new+baby,T,baby
delivery+man,T,man
the+pigeon+finds+a+hot+dog,F,
dont+let+the+pigeon+drive+the+bus,F,
dino+suit,F,
shampoo,F,
flyer,F,
tarzan,F,
loveseat,F,
sam,F,
ladybug+girl,T,girl
lulu,F,
stinger,F,
bumblebee+boy,T,boy
kiki,F,
marley,F,
butterfly+girl,T,girl
dragonfly+girl,T,girl
my+friends,F,
active+baby+healthy+brain,F,
litter+box,T,box
boxers,F,
the+book+of+animals,T,animal
meera,F,
manger,F,
joseph,F,
elliptical,F,
hip+flexor,F,
riesling,F,
taters,F,
bra,F,
toothpick+holder,F,
crusts,F,
snowmen+at+christmas,F,
sweets,F,
constellation,F,
smores,F,
marshmallow,F,
shadow,F,
listen+to+the+wind+the+story+of+dr+greg+and+three+cups+of+tea,F,
dr+greg,F,
haji+ali,F,
lumber,F,
sher+takhi,F,
hussein,F,
julia,F,
leggings,F,
i+stink,F,
piston,F,
blade,F,
apple+cores,T,apple
diaperna,F,
eggshell,T,egg
radishes,F,
rind,F,
yams,F,
im+dirty,T,dirty
barbecue,F,
toilet+seat,F,
sprinkles,F,
wash,T,wash
happy+hippo+angry+duck,F,
if+you+give+a+donkey+a+carrot,F,
muffin+mix,F,
moby,F,
eyelid,F,
snubbulls,F,
baby+armor,T,baby
fridgerator,F,
voice+box,F,
kamut,F,
vegetables,F,
just+me+and+my+mom,T,mommy
stranger+danger,F,
the+wheels+on+the+bus,T,bus
baked+ziti,F,
wraps,F,
perfume,F,
beggar,F,
woodcutter,F,
mantle,F,
faucet,F,
goldilocks,F,
liner,F,
organizer,F,
mommy+hugs,T,mommy
sweet+dreams+roo,F,
kanga,F,
olivia,F,
nosefrida,F,
readings+in+ancient+greek+philosophy+from+thales+to+aristotle,F,
ginger,F,
feta,F,
saline,F,
licorice,F,
chamomile,F,
rib,F,
mr+wuffles,F,
time+for+bed,T,bed
paddington,F,
north+face,F,
night+cap,F,
jam+jams,T,pajamas
cyborg,F,
oaties,F,
bassinet,F,
moisturizer,F,
deodorant,F,
llama+llama+misses+mama,F,
cat+the+cat+who+is+that,T,cat
blargie+blargie,F,
bugs,T,bug
what+shape+am+i,F,
soup+mix,F,
sliders,F,
breadcrumbs,F,
skillet,F,
baby+bjorn,F,
yolk,F,
patties,F,
chevy,F,
how+many+kisses+do+you+want+tonight,F,
flutterby,F,
little+neigh,F,
little+pooch,F,
little+girl,T,girl
curl,F,
little+boy,T,boy
toothbrush+holder,T,toothbrush
eye+tracker,T,eye
syringe,F,
sleeper,F,
little+maine,F,
bud,F,
shellfish,F,
pine,F,
mussel,F,
seagull,F,
theres+a+wocket+in+my+pocket,F,
zelf,F,
zable,F,
bofa,F,
knee+highs,F,
mullet,F,
tab,F,
hibachi,F,
q+tip,F,
hop+on+pop,F,
wocket,F,
redbox,F,
the+judge,F,
coke,F,
shake+it,F,
red,F,
ted,F,
ed,F,
ned,F,
jim,F,
pat,F,
pop,F,
mr+moo,F,
vestibule,F,
m+ms,F,
chicken+noodle,T,chicken
master+yoda,F,
ibuprofen,F,
bleach,F,
snow+pants,T,pants
dusty,F,
pork+chops,F,
spiderweb,F,
elderberry,F,
balloony,T,balloon
tutu,F,
sleeping+bag,F,
craft,F,
cotton+ball,F,
tiana,F,
aurora,F,
mule,F,
shop+vac,F,
t+n+t,F,
slingshot,F,
librarian,F,
marsupial,F,
lucky+charms,F,
the+flash,F,
bibber,F,
fortress,F,
hot+cocoa,F,
the+empire+strikes+back,F,
skywalker,F,
tauntaun,F,
wampa,F,
chewbecca,F,
kryptonite,F,
wedge,F,
imperial+walker,F,
hoth,F,
star+destroyer,F,
boulder,F,
jessie,F,
elmo+goes+potty,F,
v+h+s,F,
pancetta,F,
tortellinis,F,
lemon+zester,F,
garlic+press,F,
burglar,F,
catwoman,F,
just+beechnut,F,
batwoman,F,
neosporin,F,
wonderwoman,F,
chicklet,F,
diaper+genie,T,diaper
orangemen,F,
brow,F,
cool+whip,F,
honeycrisp,F,
kibble,F,
leprechaun,F,
ginger+ale,F,
nectar,F,
biscuits+pet+and+play+easter,F,
vtech,F,
ad,F,
english+muffins,F,
bop,F,
swaddler,F,
burrito,F,
stage,F,
soother,F,
sea+dreams,F,
whiskers,F,
potpourri,F,
canvas,F,
dropper,F,
panini,F,
sophie+pop+up+peekaboo,F,
mechanic,F,
toyota+matrix,F,
s+n+s,F,
floss,F,
tempeh,F,
probiotics,F,
red+hot,F,
ice+cube+tray,F,
sleep+suit,F,
babys+day,T,baby
vinegar,F,
mantis,F,
clothing,F,
steamer,F,
jungle+rumble,F,
shamrock,F,
ear+drops,F,
hello+animals,F,
a+good+day,F,
dock,F,
tuna,F,
scallops,F,
seafood,F,
fish+fry,T,fish
blondie,F,
doritos,F,
sweet+dreams,F,
magenta,F,
coffee+grinder,F,
cantaloupey,F,
arms,F,
mortimer,F,
cashier,F,
susan+jane+window+pane,F,
templeton,F,
frederick,F,
bath+wash,T,bath
make+up,F,
easel,F,
shark+floor+cleaner,F,
a+and+d,F,
binky+holder,F,
oball,F,
price+checker,F,
rod,F,
cheeseburgers,F,
flier,F,
captain+crunch,F,
perrys,F,
synthroid,F,
nuby,F,
v+eight,F,
cheeks,F,
bottoms,F,
juggler,F,
nugget,F,
cemetery,F,
snuggle+buggle,F,
babars+yoga+for+elephants,F,
archaeologist,F,
shrine,F,
master+sir+sri+mahesh,F,
cornelius,F,
mahesh,F,
skyscraper,F,
elephants+cannot+dance,T,elephant
what+can+elephants+do,T,elephant
visa,F,
fruit+and+nut,F,
moonshine,F,
gas+station,F,
herb,F,
tread,F,
nyquil,F,
sweats,F,
turtleneck,F,
whiskey,F,
rifle,F,
laundromat,F,
blindfold,F,
river+bend,F,
play+pen,F,
juice+box,T,juice
mushu,F,
mr+booty,F,
mr+poopoo,F,
inspector+gadget,F,
peanut+butter+and+sugar,F,
segway,F,
sperrys,F,
mario,F,
bomb,F,
headphone,F,
peanut+butter+chocolate,F,
scrubbie,F,
walt+disney,F,
walt,F,
nose+plugger,F,
throne,F,
susie,F,
polo,F,
runaway+bunny,T,bunny
mountain+climber,F,
gardener,F,
circus,F,
mint,F,
dreamcatcher,F,
skeleton,F,
dyson,F,
pantyhose,F,
cuddles,F,
tuner,F,
court,F,
washer+fluid,F,
lemon+squisher,F,
tarp,F,
trimmers,F,
kerosene,F,
farm+loader,F,
medication,F,
ten+apples,T,apple
you+are+my+baby,T,baby
ratatouille,F,
bobsled,F,
eye+drop,T,eye
omelettes,F,
maple,F,
trellis,F,
ivy,F,
b+l+t,F,
bisquick,F,
cigar,F,
shades,F,
lavender,F,
my+world,F,
target,F,
chus+day,F,
chu,F,
diner,F,
iced+tea,F,
jerk,F,
cornflake,F,
piggies,T,pig
rock+n+play,F,
optimus+prime,F,
lawyer,F,
keen,F,
hand+dryer,F,
artichoke+heart,F,
fennel,F,
leeks,F,
scallion,F,
pediatrician,F,
bok+choy,F,
bean+sprouts,F,
tortillas,F,
chobanis,F,
coconut+water,F,
fiddlehead,F,
puff+pastry,F,
ouzo,F,
waffle+iron,F,
goldfishes,F,
pooch,F,
climber,F,
tightrope+walker,F,
cardigan,F,
anakin+skywalker,F,
laundry+line,F,
clothesline,F,
man+with+the+yellow+hat,F,
netting,F,
goldilocks+and+the+three+dinosaurs,F,
amanda,F,
eyeliner,F,
jasmine,F,
drug,F,
bloomers,F,
purees,F,
limes,F,
creamsicle,F,
smock,F,
filter,F,
chopper,F,
tack,F,
kidney,F,
dove,F,
fan+blade,F,
power+washer,F,
drywall,F,
thorn,F,
dusty+miller,F,
delphinium,F,
chives,F,
peppermint,F,
horseradish,F,
pansy,F,
water+can,F,
seagul,F,
yellow+jacket,F,
the+rainbabies,F,
tuxedo,F,
papr,F,
sookie,F,
squiggles,F,
frigerator,F,
sambo,F,
laundry+machine,F,
fire+station,F,
signs+for+bathtime,F,
the+first+hundred+animals,F,
the+very+hungry+caterpiller,F,
beam,F,
the+opposites,F,
bath+time+signs,F,
david+brooks,F,
lacrosse+stick,F,
walter,F,
nana,F,
audrey,F,
van+gogh,F,
casino,F,
watkins+glen,F,
national+baseball+hall+of+fame,F,
snowboarder,F,
adirondacks,F,
slope,F,
times+square,F,
mark+shields,F,
headboard,F,
scales,F,
swings,F,
tennis+court,F,
canoe,F,
muscles,F,
spongebob+squarepants,F,
spongebob,F,
squarepants,F,
mr+krabs,F,
bicep,F,
cologne,F,
sub,F,
chicken+cordon+bleu,F,
brisket,F,
beef+brisket,F,
chocolate+chips,F,
sound+machine,F,
godzilla,F,
subs,F,
mojito,F,
rosin,F,
pepsi,F,
black+beans+and+rice,F,
jalapeno,F,
pack+n+play,F,
otterbox,F,
booster+seat,F,
chicken+stock,F,
jumperoo,F,
gizmo+pal,F,
paddle,F,
catalogue,F,
pager,F,
calculator,F,
artichokes,F,
jicama,F,
sprouts,F,
okra,F,
snaps,F,
yardstick,F,
d+v+d+player,F,
vinaigrette,F,
kiss+your+sister+rose+marie,F,
baby+boo,T,baby
rose+marie,F,
dozer,F,
zombie,F,
backwards+bob,F,
northern+nightmare,F,
dragons+breath,F,
mater,F,
wheelchair,F,
breathing+tube,F,
crocs,F,
lorna+doones,F,
saltine,F,
fire+truck+toy,T,firetruck
mummums,F,
skittles,F,
mangos,F,
scallop,F,
mini,F,
prosecco,F,
coconut+ice+cream,T,icecream
sinker,F,
preschool,F,
ice+cream+shop,T,icecream
mary+poppins,F,
street+cleaner,F,
levine,F,
slushy,F,
butterfinger,F,
reeses,F,
peppermint+patties,F,
sundae,F,
powerade,F,
lumiere,F,
cogsworth,F,
forte,F,
mrs+potts,F,
shutters,F,
maid+of+the+mist,F,
fitbit,F,
capri,F,
booster,F,
cupholder,F,
rice+cooker,F,
corn+maze,F,
elixir,F,
llama+llama+hippity+hop,F,
ten+tiny+toes,T,toe
cuppy,F,
wheres+babys+mommy,T,mommy
bedspread,F,
hots,F,
hamburgers,F,
gel,F,
pigtails,F,
snowsuit,F,
splash+pad,F,
ipod,F,
wrestler,F,
ribs,F,
food+coloring,F,
sling,F,
cosmos,F,
spit+up+paper+towel,F,
s+u+v,F,
nice,T,nice
charm,F,
garnet,F,
gravy,F,
saddle,F,
mini+wheat,F,
